NUMBERS		LABELED	PINS		PINS	LABELED		NUMBERS
	EN	EN	pin15		pin15	D23	GPIO23	23
36	GPIO36	VP	pin14		pin14	D22	GPIO22	22
39	GPIO39	VN	pin13		pin13	TX0	GPIO01	1
34	GPIO34	D34	pin12		pin12	RX0	GPIO03	3
35	GPIO35	D35	pin11		pin11	D21	GPIO21	21
32	GPIO32	D32	pin10		pin10	D19	GPIO19	19
33	GPIO33	D33	pin9		pin9	D18	GPIO18	18
25	GPIO25	D25	pin8		pin8	D5	GPIO05	5
26	GPIO26	D26	pin7		pin7	TX2	GPIO17	17
27	GPIO27	D27	pin6		pin6	RX2	GPIO16	16
14	GPIO14	D14	pin5		pin5	D4	GPIO04	4
12	GPIO12	D12	pin4		pin4	D2	GPIO02	2
13	GPIO13	D13	pin3		pin3	D15	GPIO15	15
	GND	DND	pin2		pin2	GND	GND	
	VIN	VIN	pin1		pin1	3V3	VDD 3V3	
